League,Sport,Country,Season,Level on pyramid,Teams,Mat­ches,Revenue,Rev_team,Rev_match
National Football League (NFL),American football,United States,2022,1,32,285,17035,532.35,59772
Major League Baseball (MLB),Baseball,"United States
 Canada",2019,1,30,2467,9780,326,3964
National Basketball Association (NBA),Basketball,"United States
 Canada",2021-22,1,30,1324,9541,318,7206
Premier League (EPL),Association football,"England
  Wales",2021–22,1,20,380,6100,305,15432
National Hockey League (NHL),Ice hockey,"United States
  Canada",2021-22,1,32,1358,4920,153,3608
Campeonato Nacional de Liga de Primera División (La Liga),Association football,Spain,2021–22,1,20,380,3400,170,8800
Fußball-Bundesliga (Bundesliga),Association football,Germany,2021–22,1,18,306,3000,150,11288
Lega Nazionale Professionisti Serie A (Serie A),Association football,Italy,2021-22,1,20,380,2300,115,6793
Championnat de France de football (Ligue 1),Association football,"France
 Monaco",2021-22,1,20,380,1700,85,4979
Major League Soccer (MLS),Association football,"United States
 Canada",2022,1,28,489,1490,53.6,3272
Nippon Professional Baseball (NPB),Baseball,Japan,2016,1,12,880,1184,98.7,1345
Indian Premier League (IPL),Twenty20 cricket,India,2023,1,10,74,1181,118.1,15971
Australian Football League (AFL),Australian rules football,Australia,2019,1,18,207,961,53.4,4642
Chinese Football Association Super League (CSL),Association football,China,2016,1,16,240,945,59,3938
Russian Premier League (RPL),Association football,Russia,2018–19,1,16,240,876,54.8,3650
J1 League,Association football,Japan,2017,1,18,306,860,48,2810
Kontinental Hockey League (KHL),Ice hockey,"Russia
 Belarus
 China
 Kazakhstan",2016–17,1,24,944,820,28.3,869
Campeonato Brasileiro Série A (Brasileirão),Association football,Brazil,2020,1,20,380,783.4,39.2,2062
2. Fußball-Bundesliga (2. Bundesliga),Association football,Germany,2018–19,2,18,306,781.5,43.4,2554
English Football League Championship (EFL Championship),Association football,"England
 Wales",2020–21,2,24,557,699.3,29.2,1256
Turkish Süper Lig,Association football,Turkey,2018–19,1,18,306,670,37.2,2190
Eredivisie,Association football,Netherlands,2018–19,1,10,312,578,32.1,1853
Chinese Basketball Association (CBA),Basketball,China,2015–16,1,20,405,575.8,28.8,1422
Liga MX,Association football,Mexico,2018-19,1,18,334,555,30.8,1662
Primeira Liga,Association football,Portugal,2018–19,1,18,306,524,29.1,1712
Liga Profesional de Fútbol,Association football,Argentina,2018–19,1,26,325,490.8,18.9,1510
Belgian First Division A,Association football,Belgium,2018–19,1,16,191,445,27.8,2330
Korea Baseball Organization League (KBO League),Baseball,South Korea,2018,1,10,590,396.3,39.6,672
Lega Nazionale Professionisti B (Serie B),Association football,Italy,2017–18,2,22,470,353,16,751
National Rugby League (NRL),Rugby league football,"Australia
 New Zealand",2020,1,16,201,342.8,21.4,1705
Championnat de France de rugby à XV (Top 14),Rugby union football,France,2017–18,1,14,187,337.2,24.1,1803
Campeonato Nacional de Liga de Segunda División (LaLiga2),Association football,Spain,2017–18,2,22,468,326.8,14.9,698
K League,Association football,South Korea,2019,1,12,228,287,23.9,1258
J2 League,Association football,Japan,2015,2,22,462,262,11.9,567
Saudi Professional League (SPL),Association football,Saudi Arabia,2016–17,1,14,182,254.6,18.2,1399
Premiership Rugby,Rugby union football,England,2015–16,1,12,135,251.4,21,1862
Scottish Premiership (SPL),Association football,Scotland,2018–19,1,12,228,237,19.8,1039
Swiss Super League,Association football,"Switzerland
 Liechtenstein",2018–19,1,10,180,230,14.4,958
Austrian Football Bundesliga,Association football,Austria,2018–19,1,12,192,224,18.7,1167
Championnat de France de football de Ligue 2 (Ligue 2),Association football,France,2016–17,2,20,380,219,11,576
English Football League One (EFL League One),Association football,"England
 Wales",2018–19,3,24,557,215.5,9,387
Danish Superliga,Association football,Denmark,2018–19,1,14,250,197,14.1,788
Swedish Hockey League (SHL),Ice hockey,Sweden,2018–19,1,14,409,183,13,447
Categoria Primera A,Association football,Colombia,–,1,18,452,176,10,389
Big Bash League,Twenty20 cricket,Australia,2018–19,1,8,59,173,21.6,2932
National League (NL),Ice hockey,Switzerland,2013–14,1,12,339,167,13.9,493
Allsvenskan,Association football,Sweden,2019,1,16,240,156,9.8,650
B1 League,Basketball,Japan,2017–18,1,18,561,153.4,8.5,273
Basketball Bundesliga (BBL),Basketball,Germany,2022–23,1,18,328,153,8.5,466
Eliteserien,Association football,Norway,2017,1,16,240,152,9.5,633
Ekstraklasa,Association football,Poland,2016–17,1,16,296,152,9.5,514
Canadian Football League (CFL),Canadian football,Canada,2018,1,9,86,143,15.9,1663
3. Fußball-Liga (3. Liga),Association football,Germany,2017–18,3,20,380,143,7.2,376
Deutsche Eishockey Liga (DEL),Ice hockey,Germany,2018–19,1,14,410,136,9.3,317
Lega Italiana Calcio Professionistico (Serie C),Association football,Italy,2017–18,3,57,990,126,2.2,127
Liga de la Asociación de Clubs de Baloncesto (Liga ACB),Basketball,"Spain
 Andorra",2016–17,1,18,295,120.4,6.68,408
Championnat de France de rugby à XV de 2e division (Rugby Pro D2),Rugby union football,France,2017–18,2,16,215,119.7,7.5,557
Kazakhstan Premier League,Association football,Kazakhstan,2017,1,12,198,118,9.8,596
